classification,reason_for_recall,product_description,recall_number
Class I,"Failed Content Uniformity Specifications: Product was manufactured using an adulterated active pharmaceutical ingredient; additionally, lack of process controls and good manufacturing practices resulted in finished product failing content uniformity specifications which can result in a product having a strength that is more or less than is labeled.","Levothyroxine and Liothyronine (Thyroid Tablets, USP), 1 grain (60 mg), 100-count bottles, Rx Only, Manufactured for: Westminster Pharmaceuticals, LLC, 154 Downing Street, Unit 1 & 2, Olive Branch, MS 38654, NDC 69367-156-04.",D-1178-2018
Class I,Marketed without an Approved NDA/ANDA; product labeled to contain 0.56% methanol making it an unapproved new drug,"SkinGuard 24 All-Day Hand Sanitizer 8 oz. bottle with foam pump, Dist by: SG24 LLC, Bolingbroke, GA 31004  UPC 793573147125",D-1572-2020
Class I,Microbial contamination,"Dr. King's Natural Medicine Homeopathic Hydration, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955024224, NDC 57955-0242-2",D-0580-2019
Class I,Marketed Without an Approved NDA/ANDA: Product labeled to contain methanol making it an unapproved new drug and contains methanol,"Klean Touch Hand Sanitizer (Ethyl Alcohol 70%) Ingredients Ethanol and Methanol, in 55-gallon drums, Aroma Release Technology, Inc., 7026 Discovery Drive, Chattanooga, TN 37416",D-0298-2022
Class I,Microbial contamination,"Dr. King's SafeCare Rx UlcerPlex, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955175025, NDC 57955-0188-2",D-0709-2019
Class I,Marketed Without an Approved ANDA/NDA: presence of sibutramine,"Japan Weight Loss Blue Capsules, 9 g (300 mg), 30 count box, Green algae lipotropic (fat dissolving) agent, OTC, Distributed by Vitaminbestbuy.com, Brewerton, NY",D-1700-2012
Class I,"Marked Without An Approved NDA/ANDA: FDA analysis found these products to contain sildenafil, an FDA approved drug for the treatment of erectile dysfunction, making these products unapproved drugs for which safety and efficacy have not been establish and therefore, subject to recall.","Zhonghua Niubian tablets, 2000mg, 6-count bottle, labeling is in foreign language",D-0563-2018
Class I,Microbial contamination,"Dr. King's SafeCare Rx Lonely Mind & Body High Potency Homeopathic Formula for Professional Use Only, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside dr. Asheville, NC 28806 USA,  UPC 357955200024,  NDC 57955-2001-2",D-0680-2019
Class I,Presence of particulate matter - this recall is due to a recent Hospira recall of vancomyicn hydrochloride 10gm vials due to presence of particulate matter.,"Vancomycin HCl 750 mg added to 250 mL 0.9% Sodium Chloride For IV Use Only, Rx Only, SCA Pharmaceuticals, Little Rock, AR 72205, NDC 70004-0929-40",D-0644-2017
Class I,Microbial contamination,"Dr. King's Natural Medicine Homeopathic Headache Relief, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955515326, NDC 57955-5153-2",D-0607-2019
Class I,Marketed Without an Approved NDA/ANDA: Product labeled to contain methanol making it an unapproved new drug and contains methanol,"kleantouch HAND SANITIZER (ethyl alcohol 70%), 8.0 FL OZ (236 ML), pump bottles, Distributed by: Valisa MFG, LLC, Farmingdale, NY, 11735, Made in USA, UPC 6 86162 99246 1",D-0363-2022
Class I,Microbial contamination,"Dr. King's SafeCare Rx CS-Breast, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955021421, NDC 57955-0214-2",D-0776-2019
Class I,"Marketed Without an Approved NDA/ANDA: FDA analysis found the product to be tainted with undeclared sibutramine, a previously approved drug that was withdrawn from the US market due to safety concerns.","365 SKINNY High Intensity Capsules, 600 mg,  30-count bottle, BODY BALANCE INTERNACIONAL",D-0631-2022
Class I,Presence of particulate matter - this recall is due to a recent Hospira recall of vancomyicn hydrochloride 10gm vials due to presence of particulate matter.,"Vancomycin HCl 1.25 g added to 0.9% Sodium Chloride 250 mL Bag For IV Use Only, Rx Only, SCA Pharmaceuticals, Little Rock, AR 72205, NDC 70004-0923-59",D-0641-2017
Class I,Microbial Contamination of Non-Sterile Products,"Native Remedies VaricoGo Oral Spray, 2 fl oz (59 mL) per bottle, Distributed by:  Silver Star Brands, Oshkosh, WI 54906.  NDC 68703-105-59",D-0253-2019
Class I,Microbial contamination,"Dr. King's SafeCare Rx Water Retention Control, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955027829, NDC 57955-0278-2",D-0875-2019
Class I,Microbial contamination,"NET Remedies #4 (Green Label) Homeopathic Preparation, Oral Liquid, 57 mL, Manufacturer: King Bio Inc. U.S.A., Supplier: NET (Australia) Pty LTD 428 Hume Street, Toowoomba QLD 4350, Australia",D-0935-2019
Class I,"Marketed Without An Approved NDA/ANDA: The product contains undeclared sibutramine and phenolphthalein. Marketed Without An Approved NDA/ANDA: The product contains undeclared sibutramine and phenolphthalein. Sibutramine and phenolphthalein are not currently marketed in the United States, making this product an unapproved new drug.","Magic Slim capsules (Ling Zhi, Ebony, Fox-nut, Tuckahoe, Seman Pruni, Dioscoreae, Wheat Germ, Nature Substance), 60-count bottles.",D-1221-2014
Class I,Microbial contamination,"Dr. King's SafeCare Rx Teething Children High Potency Homeopathic Formula for Professional Use Only, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806 USA, UPC 357955001829, NDC 57955-0018-2",D-0690-2019
Class I,"Labeling: Label Mix-Up: Some cartons of AHP Ibuprofen Tablets, USP, 600mg, lot #142588 that contain blister cards filled with Ibuprofen tablets, 600mg drug product, were found to be mis-labeled  with blister card print identifying the product as AHP Oxcarbazepine Tablets, 300mg, lot #142544","Ibuprofen Tablets, USP, 600 mg, 100 tablets per carton (10 x 10), Rx Only, Packaged and Distributed by: American Health Packaging, Columbus, OH 43217, NDC 68084-0703-01",D-1589-2014
Class I,Microbial Contamination of Non-Sterile Products: firm's internal testing found certain lots of the product to be contaminated with Burkholderia contaminans and/or yeast and mold.,"Durisan Antimicrobial Solutions (benzalkonium chloride) Hand Sanitizing Wipes, 0.13%, 160-count canister; Sanit Technologies, LLC, 7810 25th Court East, Sarasota, Florida 34243, UPC 8 52379 00631 8.",D-0657-2021
Class I,"Microbial Contamination of Non-Sterile Products: FDA laboratory analysis found product to be contaminated with various microorganisms including Enterobacter cloacae, Cronobacter sakazakii, Cronobacter dublinensis, among others.","Goldenseal Root Powder Organic, 1 oz. clear plastic bag, Maison Terre Natural Products, www.maisonterre.net",D-1584-2020
Class I,Microbial contamination,"Dr. King's SafeCare Rx Heavy Metal Detox, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955028123, NDC 57955-0281-2",D-0787-2019
Class I,"Marketed without an Approved NDA/ANDA: FDA analysis found this product to contain undeclared Tadalafil, an FDA approved drug for the treatment of erectile dysfunction.","Green Lumber Natural Fuel For Men capsule, packaged in packs of 2, 4 and 10 capsules, 2618 San Miguel Drive, Suite #296, Newport Beach, CA 92660 (949) 426-8622.",D-0351-2020
Class I,Microbal Contamination of Non-Sterile Product; FDA analysis found  salmonella contamination,"Gaia Kratom (mitragyna speciosa) powder, Red Kapuas Hulu , 1oz, 250g, 1kg packages, Gaia Ethnobotanical.com",D-1009-2018
Class I,Microbial contamination,"NET Remedies #12 (Pink Label) Homeopathic Preparation, Oral Liquid, 57 mL, Manufacturer: King Bio Inc. U.S.A., Supplier: NET (Australia) Pty LTD 428 Hume Street, Toowoomba QLD 4350, Australia",D-0929-2019
Class I,"Chemical contamination: product found to be contaminated with methanol (wood alcohol), benzene and acetaldehyde.","Goose Creek Hand Sanitizer aloe Watermelon Lemonade, Anti-Bacterial Spray, 3.38 FL. OZ. (100 mL), Goose Creek www.GooseCreekCandle.com, 1498 S. Wallace Wilkinson Blvd., Liberty, KY 42539, UPC 814630 02423 3",D-0682-2021
